Iteration  0 , Training  0   1
Iteration  0 , Training  0   0
Iteration  0 , Training  1   0
Iteration  0 , Training  1   1
Iteration  1 , Training  1   0
Iteration  1 , Training  1   1
Iteration  1 , Training  0   0
Iteration  1 , Training  0   1
Iteration  2 , Training  1   1
Iteration  2 , Training  0   1
Iteration  2 , Training  0   0
Iteration  2 , Training  1   0
Iteration  3 , Training  0   1
Iteration  3 , Training  0   0
Iteration  3 , Training  1   1
Iteration  3 , Training  1   0
Iteration  4 , Training  0   0
Iteration  4 , Training  0   1
Iteration  4 , Training  1   0
Iteration  4 , Training  1   1
Iteration  5 , Training  1   0
Iteration  5 , Training  1   1
Iteration  5 , Training  0   1
Iteration  5 , Training  0   0
Iteration  6 , Training  0   0
Iteration  6 , Training  0   1
Iteration  6 , Training  1   1
Iteration  6 , Training  1   0
Iteration  7 , Training  1   1
Iteration  7 , Training  0   1
Iteration  7 , Training  0   0
Iteration  7 , Training  1   0
Iteration  8 , Training  0   1
Iteration  8 , Training  1   1
Iteration  8 , Training  1   0
Iteration  8 , Training  0   0
Iteration  9 , Training  1   0
Iteration  9 , Training  0   0
Iteration  9 , Training  1   1
Iteration  9 , Training  0   1
Iteration  10 , Training  1   1
Iteration  10 , Training  0   1
Iteration  10 , Training  0   0
Iteration  10 , Training  1   0
Iteration  11 , Training  1   1
Iteration  11 , Training  0   1
Iteration  11 , Training  1   0
Iteration  11 , Training  0   0
Iteration  12 , Training  1   0
Iteration  12 , Training  0   1
Iteration  12 , Training  1   1
Iteration  12 , Training  0   0
Iteration  13 , Training  1   0
Iteration  13 , Training  0   0
Iteration  13 , Training  0   1
Iteration  13 , Training  1   1
Iteration  14 , Training  1   1
Iteration  14 , Training  0   1
Iteration  14 , Training  1   0
Iteration  14 , Training  0   0
Iteration  15 , Training  1   0
Iteration  15 , Training  1   1
Iteration  15 , Training  0   1
Iteration  15 , Training  0   0
Iteration  16 , Training  1   0
Iteration  16 , Training  1   1
Iteration  16 , Training  0   1
Iteration  16 , Training  0   0
Iteration  17 , Training  0   0
Iteration  17 , Training  1   0
Iteration  17 , Training  0   1
Iteration  17 , Training  1   1
Iteration  18 , Training  0   0
